tarefa,resolucao,carater_tarefa,tipo_horizonte,horizonte,posicao_MAE,modelo,tipo_estimativa,semente,N_sementes,limitacao_sementes,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
hourly_72_extension,horaria,principal,cumulativo,72,6,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,261360,65.89645316804408,142.7598088692983,0.7119696944632338,0.7343582116704177,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,24,1,DilatedRNN,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,24,1,LSTM,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,24,1,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,24,1,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,24,1,TimesNet,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,24,1,XGBoost,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,48,1,DilatedRNN,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,48,1,LSTM,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,48,1,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,48,1,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,48,1,TimesNet,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,48,1,XGBoost,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,72,1,DilatedRNN,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,72,1,LSTM,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,72,1,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,lead_exato,72,1,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,3630,0.0,0.0,NA,NA,media_aritmetica_das_metricas_por_localidade
